paso,desempeno_acoplado,desempeno_acoplado_de,desempeno_desacoplado,desempeno_desacoplado_de
389,0.9928422387131387,0.007631738117187616,1.0,0.0
390,0.9892748385955265,0.0086768376800176,1.0,0.0
391,0.9938879434496398,0.0068131311722586544,1.0,0.0
392,0.992000224695507,0.009914542549830723,1.0,0.0
393,0.9939734940757031,0.008118389009942717,1.0,0.0
394,0.9906448998370344,0.010647325455642733,1.0,0.0
395,0.9956513999744421,0.005162724834000367,1.0,0.0
396,0.9921776441515724,0.007821855166972565,1.0,0.0
397,0.9934046746862523,0.008930670587226254,1.0,0.0
398,0.9918765515885539,0.007237242514397763,1.0,0.0
399,0.9957708826236197,0.0056097808932968705,1.0,0.0
400,0.9923784590648776,0.006876080286411575,1.0,0.0
401,0.9926141387241642,0.008565483627893703,1.0,0.0
402,0.9941146374015698,0.007055130581666768,1.0,0.0
403,0.9946775617694362,0.009024339245693014,1.0,0.0
404,0.9945921379184107,0.007218907085915309,1.0,0.0
405,0.9923057205080693,0.009632536984025022,1.0,0.0
406,0.9900945405462248,0.00948010971356408,1.0,0.0
407,0.993175901970958,0.009160422321410773,1.0,0.0
408,0.9942066195096032,0.0062955278447199055,1.0,0.0
409,0.9898776148576643,0.010735267380350924,1.0,0.0
410,0.9950042949866501,0.0070605130830196485,1.0,0.0
411,0.9960778005655516,0.0064285383766952975,1.0,0.0
412,0.9930984533481411,0.007671634591098078,1.0,0.0
413,0.9941308671964116,0.00702016231281228,1.0,0.0
414,0.9929475067210501,0.00838809445572416,1.0,0.0
415,0.9939860139893946,0.006743161180540557,1.0,0.0
416,0.9948996961622679,0.0066642380394890295,1.0,0.0
417,0.9931827637125951,0.008291147815359143,1.0,0.0
418,0.9937624048455725,0.007051734717921806,1.0,0.0
419,0.9923880456357624,0.008875698015776782,1.0,0.0
420,0.9928886734662427,0.008841240010278585,1.0,0.0
421,0.9937249342214877,0.007625568927236625,1.0,0.0
422,0.992484357327756,0.008338746393660957,1.0,0.0
423,0.9919444838399425,0.010564848593086007,1.0,0.0
424,0.9919933893539161,0.009806224952303148,1.0,0.0
425,0.9922661614636782,0.008862064545837113,1.0,0.0
426,0.9917088434349104,0.00981843061912224,1.0,0.0
427,0.9920736070462733,0.01049664835475721,1.0,0.0
428,0.9948517625404864,0.006032428979975793,1.0,0.0
429,0.9938833707599476,0.006175865404621459,1.0,0.0
430,0.9901744993184841,0.007381137951729573,1.0,0.0
431,0.9946819381084984,0.00696770687860562,1.0,0.0
432,0.9914934512045178,0.009386919236432116,1.0,0.0
433,0.9906957300038336,0.006961829989531314,1.0,0.0
434,0.9930954213480249,0.00816785838566598,1.0,0.0
435,0.9925888577750008,0.007643140031971893,1.0,0.0
436,0.9910036836907805,0.0079645422837952,1.0,0.0
437,0.9949123681216333,0.007188400813529529,1.0,0.0
438,0.9928632493360966,0.009767214808049776,1.0,0.0
439,0.9975420986496614,0.005085099355445589,1.0,0.0
440,0.9915406388000748,0.009703421477125575,1.0,0.0
441,0.9957577527935534,0.007406497916692214,1.0,0.0
442,0.993306670278495,0.008034173821958831,1.0,0.0
443,0.9910645139153664,0.009320151174619968,1.0,0.0
444,0.9946661079724013,0.005366247516740267,1.0,0.0
445,0.9940986639383715,0.007689213424937973,1.0,0.0
446,0.9948064528126398,0.006605613396689286,1.0,0.0
447,0.9950973077234643,0.008294916216111224,1.0,0.0
448,0.9934019506597762,0.00671697031944094,1.0,0.0
449,0.9941202038172064,0.00890942422708596,1.0,0.0
450,0.9969540463842218,0.005674536809154545,1.0,0.0
451,0.9938081701633307,0.007195581090729573,1.0,0.0
452,0.9935922862983838,0.006361615859559281,1.0,0.0
453,0.9922716006369788,0.009847292359983812,1.0,0.0
